date,area,source,pv,uv
2016-2-25,hb,APP,10306,1374
2016-2-25,hn,APP,1345,188
2016-2-25,hn,WEB,28710,9400
2016-2-26,hb,APP,11936,1403
2016-2-26,hb,WEB,57408,16995
2016-2-26,hd,APP,1564,182
2016-2-26,hd,WEB,9810,2867
2016-2-26,hn,APP,1854,244
2016-2-26,hn,WEB,20136,5816
2016-2-27,hb,APP,10099,1309
2016-2-27,hb,WEB,78882,24295
2016-2-27,hd,APP,1536,175
2016-2-27,hd,WEB,13888,4260
2016-2-27,hn,APP,1460,184
2016-2-27,hn,WEB,28340,8463
2016-2-28,hb,APP,13837,1624
2016-2-28,hb,WEB,64709,18181
2016-2-28,hd,APP,1889,235
2016-2-28,hd,WEB,9621,2863
2016-2-28,hn,APP,2152,252
2016-2-28,hn,WEB,19933,5733
2016-2-25,hd,APP,1312,179
2016-2-25,hd,WEB,14724,4687
2016-2-25,hb,WEB,81688,26642
