date,name,source,pv,uv
2016-2-25,频道页:SC,WEB,8472,6992
2016-2-25,频道页:SC,APP,1077,668
2016-2-25,频道页:app-hb-shouye,APP,2471,1271
2016-2-25,频道页:hb-food,WEB,18754,14150
2016-2-25,频道页:app-hn-shouye,APP,325,176
2016-2-25,频道页:hb-food,APP,2043,1260
2016-2-25,频道页:hb-fruit,APP,2403,1311
2016-2-25,频道页:hb-fruit,WEB,30659,21592
2016-2-25,频道页:hb-milk,APP,1358,872
2016-2-25,频道页:app-hd-shouye,APP,338,168
2016-2-25,频道页:hb-milk,WEB,13963,10951
2016-2-25,频道页:hb-snack,WEB,15893,12298
2016-2-25,频道页:hb-snack,APP,2028,1249
2016-2-25,频道页:hd-food,APP,249,161
2016-2-25,频道页:hd-food,WEB,3030,2336
2016-2-25,频道页:hd-fruit,APP,265,162
2016-2-25,频道页:hd-fruit,WEB,5871,3896
2016-2-25,频道页:hd-milk,APP,205,126
2016-2-25,频道页:hd-milk,WEB,2331,1813
2016-2-25,频道页:hd-snack,APP,255,163
2016-2-25,频道页:hd-snack,WEB,2954,2261
2016-2-25,频道页:hn-food,APP,267,174
2016-2-25,频道页:hn-food,WEB,6583,4973
2016-2-25,频道页:hn-fruit,APP,273,178
2016-2-25,频道页:hn-fruit,WEB,10487,7391
2016-2-25,频道页:hn-milk,APP,216,135
2016-2-25,频道页:hn-milk,WEB,4809,3758
2016-2-25,频道页:hn-snack,APP,264,173
2016-2-25,频道页:hn-snack,WEB,5790,4531
2016-2-25,频道页:nianhuohb,APP,3,3
2016-2-25,频道页:nianhuohb,WEB,2419,1672
2016-2-25,频道页:nianhuohd,WEB,538,394
2016-2-25,频道页:nianhuohn,WEB,1041,722
2016-2-25,频道首页,APP,3201,118
2016-2-25,频道首页,WEB,182989,81320
2016-2-26,频道页:SC,APP,1323,754
2016-2-26,频道页:SC,WEB,6288,5113
2016-2-26,频道页:app-hb-shouye,APP,2828,1308
2016-2-26,频道页:app-hd-shouye,APP,359,166
2016-2-26,频道页:app-hn-shouye,APP,464,224
2016-2-26,频道页:hb-food,APP,2270,1281
2016-2-26,频道页:hb-food,WEB,13555,9680
2016-2-26,频道页:hb-fruit,APP,2693,1333
2016-2-26,频道页:hb-fruit,WEB,21175,14165
2016-2-26,频道页:hb-milk,APP,1650,979
2016-2-26,频道页:hb-milk,WEB,9921,7642
2016-2-26,频道页:hb-snack,APP,2261,1279
2016-2-26,频道页:hb-snack,WEB,11216,8449
2016-2-26,频道页:hd-food,APP,278,159
2016-2-26,频道页:hd-food,WEB,2000,1437
2016-2-26,频道页:hd-fruit,APP,411,168
2016-2-26,频道页:hd-fruit,WEB,3966,2440
2016-2-26,频道页:hd-milk,APP,237,129
2016-2-26,频道页:hd-milk,WEB,1503,1144
2016-2-26,频道页:hd-snack,APP,279,160
2016-2-26,频道页:hd-snack,WEB,2003,1472
2016-2-26,频道页:hn-food,APP,366,221
2016-2-26,频道页:hn-food,WEB,4651,3312
2016-2-26,频道页:hn-fruit,APP,377,225
2016-2-26,频道页:hn-fruit,WEB,7328,4700
2016-2-26,频道页:hn-milk,APP,280,173
2016-2-26,频道页:hn-milk,WEB,3503,2586
2016-2-26,频道页:hn-snack,APP,365,220
2016-2-26,频道页:hn-snack,WEB,4067,3025
2016-2-26,频道页:jsd-hb-food,APP,106,8
2016-2-26,频道页:jsd-hb-milk,APP,57,8
2016-2-26,频道页:jsd-hb-snack,APP,67,8
2016-2-26,频道页:jsd-hn-snack,APP,1,1
2016-2-26,频道页:nianhuohb,APP,4,4
2016-2-26,频道页:nianhuohb,WEB,1541,1043
2016-2-26,频道页:nianhuohd,WEB,338,231
2016-2-26,频道页:nianhuohn,APP,1,1
2016-2-26,频道页:nianhuohn,WEB,587,425
2016-2-26,频道首页,APP,121,59
2016-2-26,频道首页,WEB,111833,43101
2016-2-27,频道页:SC,APP,1090,674
2016-2-27,频道页:SC,WEB,8694,7226
2016-2-27,频道页:app-hb-shouye,APP,2334,1194
2016-2-27,频道页:app-hd-shouye,APP,339,151
